Sender-KntNr,Empfaenger-KntNr,Verwendungszweck,Betrag,Buchungsdatum
AT08 8242 4149 1806 1191,AT37 4165 0290 7991 9354,Neueinrichtung,746.33,08.02.2017
AT80 3954 6633 3875 0597,AT56 8206 6127 2233 7903,Spende,656.18,04.04.2018
AT81 8069 2275 3090 5366,AT09 1239 5645 2894 7413,,751.29,23.07.2018
AT34 1779 1973 2337 2860,AT94 6088 9228 6351 2124,Spende,560.66,08.02.2018
AT33 9460 1594 8170 4365,AT11 9371 9162 5540 3652,Aktien,768.76,05.09.2018
AT83 4593 9652 1831 9309,AT78 4116 4634 9458 1407,Warenhandel,376.34,20.03.2017
AT31 5368 4239 0622 2678,AT52 4761 1464 4792 5682,Schulden,557.44,25.10.2017
AT31 5368 4239 0622 2678,AT71 8337 5842 2084 3742,Spende,420.69,01.02.2018
AT73 0351 6823 5615 7175,AT65 9915 4585 9244 5764,Leben,278.90,22.03.2018
AT73 4879 0209 4159 7619,AT81 1104 3648 6492 1249,Spende,803.73,15.02.2018
AT08 8242 4149 1806 1191,AT87 6023 4362 1392 0577,Auto,862.00,15.06.2018
AT37 2200 1453 3654 4508,AT36 6263 5656 5947 3628,Schulden,770.72,05.09.2018
AT30 9896 8538 8240 1931,AT73 2816 5898 3126 3532,Leben,689.19,28.06.2018
AT47 9309 4409 4792 4785,AT36 6263 5656 5947 3628,Neueinrichtung,496.28,05.10.2017
AT37 2200 1453 3654 4508,AT85 7494 8192 8332 9402,Auto,52.07,26.02.2018
AT55 8940 9044 2599 2567,AT95 5079 3033 2191 2643,Aktien,508.74,14.10.2018
AT05 1748 1837 7869 6873,AT08 8242 4149 1806 1191,Neueinrichtung,422.58,22.01.2018
AT31 5368 4239 0622 2678,AT78 4116 4634 9458 1407,Neueinrichtung,631.93,07.07.2017
AT48 4644 0976 8993 2171,AT57 0089 3636 6067 8915,Spende,766.15,04.11.2017
AT23 3627 5889 5495 9166,AT89 1722 5241 3201 1443,Aktien,510.71,07.12.2018
AT56 8206 6127 2233 7903,AT37 2200 1453 3654 4508,Auto,280.41,05.04.2018
AT60 2383 6562 9293 9096,AT78 6280 7841 3225 0685,Warenhandel,774.37,14.03.2018
AT10 0760 7731 4855 1789,AT96 2315 8547 9857 4362,Leben,274.50,09.11.2017
AT61 7283 8477 5641 3823,AT49 7869 6462 7722 2559,Leben,873.10,02.11.2018
AT52 4761 1464 4792 5682,AT71 7270 8831 6056 9024,,296.28,11.09.2018
AT50 5914 7535 5076 3985,AT78 4116 4634 9458 1407,Auto,107.83,05.06.2017
AT32 3293 7887 1273 6568,AT78 4116 4634 9458 1407,Warenhandel,682.15,17.12.2018
AT83 4593 9652 1831 9309,AT83 2055 0343 5031 5242,Warenhandel,92.59,05.02.2017
AT45 2213 9912 6657 0320,AT77 5714 5121 8373 3333,Spende,604.11,06.11.2018
AT61 7283 8477 5641 3823,AT81 1104 3648 6492 1249,Leben,558.59,08.03.2017
AT94 6088 9228 6351 2124,AT76 6888 8605 9695 7795,,244.04,14.09.2018
AT73 2816 5898 3126 3532,AT81 8069 2275 3090 5366,Schulden,598.54,12.05.2017
AT73 4879 0209 4159 7619,AT73 7449 0172 9499 3958,Neueinrichtung,171.89,12.08.2017
AT46 4038 8451 6269 6532,AT30 9896 8538 8240 1931,Aktien,529.97,18.08.2017
AT00 3837 1294 3259 1959,AT81 1104 3648 6492 1249,Spende,201.51,17.09.2017
AT73 2816 5898 3126 3532,AT09 1239 5645 2894 7413,Warenhandel,861.82,22.06.2018
AT11 9371 9162 5540 3652,AT50 5914 7535 5076 3985,Spende,398.49,24.04.2018
AT85 9841 6026 7949 4737,AT73 0351 6823 5615 7175,Warenhandel,534.50,17.08.2018
AT33 9460 1594 8170 4365,AT80 0414 2633 0638 0714,Auto,305.48,11.03.2018
AT57 0089 3636 6067 8915,AT77 5714 5121 8373 3333,Neueinrichtung,634.78,13.03.2018
AT58 0042 4020 9493 7961,AT56 8206 6127 2233 7903,Warenhandel,591.65,19.09.2018
AT81 8069 2275 3090 5366,AT34 9862 5121 9751 5569,Neueinrichtung,430.24,01.11.2017
AT46 4038 8451 6269 6532,AT94 6088 9228 6351 2124,Neueinrichtung,475.12,24.06.2017
AT83 2055 0343 5031 5242,AT94 6088 9228 6351 2124,Aktien,749.95,23.08.2017
AT73 7449 0172 9499 3958,AT27 4281 9942 0389 1927,Neueinrichtung,611.56,18.08.2018
AT32 3293 7887 1273 6568,AT09 1239 5645 2894 7413,Auto,226.82,21.04.2017
AT38 1771 0448 8518 9824,AT48 4644 0976 8993 2171,,276.59,03.02.2017
AT87 4186 5190 8996 4168,AT96 2315 8547 9857 4362,Aktien,535.88,06.08.2017
AT37 4165 0290 7991 9354,AT65 9915 4585 9244 5764,Aktien,708.29,04.08.2017
AT73 7449 0172 9499 3958,AT09 1239 5645 2894 7413,Auto,542.61,22.07.2018
AT76 6888 8605 9695 7795,AT89 1722 5241 3201 1443,Leben,225.82,09.01.2017
AT37 4165 0290 7991 9354,AT21 3259 6395 4314 9840,Aktien,271.42,05.04.2018
AT10 0760 7731 4855 1789,AT08 8242 4149 1806 1191,,496.37,07.11.2018
AT49 7869 6462 7722 2559,AT25 2252 4773 6239 8605,Spende,403.35,21.05.2018
AT89 1722 5241 3201 1443,AT57 0089 3636 6067 8915,Spende,673.64,19.08.2017
AT45 2213 9912 6657 0320,AT08 8242 4149 1806 1191,Aktien,149.56,10.04.2017
AT73 2816 5898 3126 3532,AT34 1779 1973 2337 2860,Aktien,508.16,05.07.2017
AT60 2383 6562 9293 9096,AT73 7449 0172 9499 3958,Spende,774.43,21.11.2017
AT87 4186 5190 8996 4168,AT78 4116 4634 9458 1407,Schulden,618.66,09.08.2017
AT31 5368 4239 0622 2678,AT81 8069 2275 3090 5366,Warenhandel,889.22,19.01.2018
AT95 5079 3033 2191 2643,AT80 0414 2633 0638 0714,Neueinrichtung,191.74,06.09.2017
AT87 6023 4362 1392 0577,AT57 0089 3636 6067 8915,Warenhandel,385.57,11.06.2018
AT95 5079 3033 2191 2643,AT89 1722 5241 3201 1443,Schulden,986.51,15.03.2018
AT21 3259 6395 4314 9840,AT81 8069 2275 3090 5366,Auto,846.83,27.01.2018
AT85 7494 8192 8332 9402,AT08 8242 4149 1806 1191,Neueinrichtung,200.35,27.09.2017
AT09 1239 5645 2894 7413,AT37 2200 1453 3654 4508,Aktien,559.04,21.03.2017
AT17 4463 0026 7361 8389,AT83 2055 0343 5031 5242,Auto,508.10,07.07.2017
AT78 6280 7841 3225 0685,AT46 4038 8451 6269 6532,Spende,512.99,28.08.2018
AT27 4281 9942 0389 1927,AT31 5368 4239 0622 2678,Warenhandel,384.35,08.04.2017
AT09 1239 5645 2894 7413,AT34 1779 1973 2337 2860,Warenhandel,790.92,03.06.2017
AT27 4281 9942 0389 1927,AT08 8242 4149 1806 1191,Warenhandel,390.73,16.04.2017
AT87 4186 5190 8996 4168,AT83 4593 9652 1831 9309,Schulden,315.01,28.12.2018
AT45 2213 9912 6657 0320,AT60 2383 6562 9293 9096,Warenhandel,650.02,15.04.2018
AT78 4116 4634 9458 1407,AT56 8206 6127 2233 7903,Aktien,830.75,07.07.2018
AT36 6263 5656 5947 3628,AT73 7449 0172 9499 3958,Auto,971.78,04.03.2017
AT45 2213 9912 6657 0320,AT85 7494 8192 8332 9402,Auto,709.95,26.11.2017
AT31 5368 4239 0622 2678,AT76 6888 8605 9695 7795,Auto,654.85,05.03.2017
AT10 0760 7731 4855 1789,AT85 7494 8192 8332 9402,Spende,492.21,14.12.2018
AT67 5686 4643 8701 0396,AT81 1104 3648 6492 1249,Warenhandel,205.34,13.08.2017
AT65 9915 4585 9244 5764,AT81 1104 3648 6492 1249,Auto,508.25,28.09.2018
AT80 0414 2633 0638 0714,AT73 0351 6823 5615 7175,Neueinrichtung,217.57,18.07.2017
AT30 9896 8538 8240 1931,AT77 5714 5121 8373 3333,Aktien,333.17,15.02.2018
AT77 5714 5121 8373 3333,AT82 8137 7112 6694 2806,Spende,977.18,17.09.2018
AT95 5079 3033 2191 2643,AT21 3259 6395 4314 9840,Schulden,934.64,27.04.2018
AT34 9862 5121 9751 5569,AT89 1722 5241 3201 1443,Schulden,387.87,08.06.2017
AT83 2055 0343 5031 5242,AT73 2816 5898 3126 3532,Auto,114.56,03.04.2017
AT73 4879 0209 4159 7619,AT37 2200 1453 3654 4508,Neueinrichtung,618.68,22.04.2018
AT34 9862 5121 9751 5569,AT31 5368 4239 0622 2678,,514.19,08.06.2018
AT10 0760 7731 4855 1789,AT87 6023 4362 1392 0577,Leben,89.33,09.10.2017
AT21 3259 6395 4314 9840,AT83 4593 9652 1831 9309,Schulden,720.93,07.09.2017
AT85 7494 8192 8332 9402,AT00 3837 1294 3259 1959,,563.47,17.08.2017
AT83 2055 0343 5031 5242,AT21 3259 6395 4314 9840,,135.70,23.08.2017
AT78 6280 7841 3225 0685,AT11 9371 9162 5540 3652,Auto,670.00,04.04.2018
AT47 9309 4409 4792 4785,AT77 5714 5121 8373 3333,Spende,825.02,19.10.2017
AT85 9841 6026 7949 4737,AT71 8337 5842 2084 3742,Aktien,145.78,26.08.2017
AT73 2816 5898 3126 3532,AT71 7270 8831 6056 9024,Spende,734.86,01.01.2017
AT32 3293 7887 1273 6568,AT78 4116 4634 9458 1407,Schulden,467.69,09.03.2017
AT31 5368 4239 0622 2678,AT34 2568 3484 0062 8014,Warenhandel,532.76,08.09.2018
AT34 1779 1973 2337 2860,AT55 8940 9044 2599 2567,Auto,100.70,27.09.2017
AT96 2315 8547 9857 4362,AT55 8940 9044 2599 2567,Spende,524.23,13.02.2018
AT94 6088 9228 6351 2124,AT73 0351 6823 5615 7175,Neueinrichtung,936.66,03.01.2017
AT76 6888 8605 9695 7795,AT36 6263 5656 5947 3628,Aktien,400.82,01.05.2018
AT96 2315 8547 9857 4362,AT99 3877 4273 7047 3592,Leben,905.04,28.03.2017
AT56 8206 6127 2233 7903,AT31 5368 4239 0622 2678,Schulden,357.41,07.05.2017
AT57 6282 2830 8723 9867,AT21 3259 6395 4314 9840,Auto,287.52,27.03.2017
AT30 9896 8538 8240 1931,AT11 8048 7611 7051 3113,Schulden,388.53,08.10.2017
AT81 8069 2275 3090 5366,AT08 8242 4149 1806 1191,Spende,988.21,25.02.2018
AT21 3259 6395 4314 9840,AT49 7869 6462 7722 2559,Auto,117.85,26.08.2018
AT37 2200 1453 3654 4508,AT81 8069 2275 3090 5366,Neueinrichtung,360.78,06.12.2018
AT77 5714 5121 8373 3333,AT96 2315 8547 9857 4362,Neueinrichtung,204.79,23.01.2018
AT56 8206 6127 2233 7903,AT81 8069 2275 3090 5366,Aktien,421.85,21.04.2017
AT21 3259 6395 4314 9840,AT73 0351 6823 5615 7175,Warenhandel,671.70,03.04.2017
AT34 9862 5121 9751 5569,AT76 6888 8605 9695 7795,Warenhandel,297.78,01.10.2018
AT76 6888 8605 9695 7795,AT21 3259 6395 4314 9840,Spende,161.83,07.10.2017
AT78 6280 7841 3225 0685,AT34 2568 3484 0062 8014,Neueinrichtung,920.54,10.02.2017
AT57 6282 2830 8723 9867,AT78 4116 4634 9458 1407,Neueinrichtung,233.26,24.04.2018
AT89 1722 5241 3201 1443,AT80 0414 2633 0638 0714,Aktien,713.94,16.09.2017
AT57 6282 2830 8723 9867,AT11 8048 7611 7051 3113,Neueinrichtung,789.87,17.10.2017
AT99 3877 4273 7047 3592,AT27 4281 9942 0389 1927,,635.77,11.11.2018
AT48 4644 0976 8993 2171,AT81 8069 2275 3090 5366,Leben,670.83,13.07.2017
AT85 7494 8192 8332 9402,AT09 1239 5645 2894 7413,Aktien,217.66,17.08.2017
AT37 4165 0290 7991 9354,AT96 2315 8547 9857 4362,Spende,782.56,18.06.2018
AT65 9915 4585 9244 5764,AT00 3837 1294 3259 1959,Leben,439.23,12.06.2017
AT50 5914 7535 5076 3985,AT81 1104 3648 6492 1249,Neueinrichtung,178.21,01.01.2017
AT45 2213 9912 6657 0320,AT30 9896 8538 8240 1931,Schulden,685.93,15.06.2017
AT82 8137 7112 6694 2806,AT52 4761 1464 4792 5682,Aktien,475.41,25.05.2017
AT55 8940 9044 2599 2567,AT85 7494 8192 8332 9402,Spende,87.37,16.07.2018
AT85 7494 8192 8332 9402,AT78 6280 7841 3225 0685,Aktien,310.14,14.02.2017
AT76 6888 8605 9695 7795,AT47 9309 4409 4792 4785,Warenhandel,351.20,10.08.2017
AT45 2213 9912 6657 0320,AT76 6888 8605 9695 7795,Spende,312.58,11.08.2017
AT85 7494 8192 8332 9402,AT78 6280 7841 3225 0685,Spende,112.24,27.04.2017
AT34 2568 3484 0062 8014,AT23 3627 5889 5495 9166,Warenhandel,85.37,27.11.2018
AT73 2816 5898 3126 3532,AT89 1722 5241 3201 1443,Auto,343.83,08.05.2017
AT78 4116 4634 9458 1407,AT60 2383 6562 9293 9096,Neueinrichtung,34.46,04.01.2018
AT87 4186 5190 8996 4168,AT34 2568 3484 0062 8014,Schulden,288.47,06.01.2018
AT57 6282 2830 8723 9867,AT11 9371 9162 5540 3652,Aktien,765.26,04.10.2018
AT52 4761 1464 4792 5682,AT78 6280 7841 3225 0685,Auto,831.06,08.02.2017
AT33 9460 1594 8170 4365,AT52 4761 1464 4792 5682,Auto,680.79,06.02.2017
AT94 6088 9228 6351 2124,AT71 8337 5842 2084 3742,,798.26,22.04.2017
AT05 1748 1837 7869 6873,AT80 0414 2633 0638 0714,Warenhandel,450.57,03.01.2018
AT61 7283 8477 5641 3823,AT65 9915 4585 9244 5764,Warenhandel,562.20,27.03.2018
AT37 2200 1453 3654 4508,AT83 2055 0343 5031 5242,Spende,524.79,17.11.2017
AT50 5914 7535 5076 3985,AT34 9862 5121 9751 5569,Warenhandel,803.50,13.04.2018
AT50 5914 7535 5076 3985,AT77 5714 5121 8373 3333,Neueinrichtung,94.26,05.06.2018
AT99 3877 4273 7047 3592,AT76 6888 8605 9695 7795,Auto,720.81,02.11.2017
AT27 4281 9942 0389 1927,AT49 7869 6462 7722 2559,Spende,695.11,03.11.2018
AT32 3293 7887 1273 6568,AT82 8137 7112 6694 2806,Schulden,612.06,23.11.2018
AT27 4281 9942 0389 1927,AT55 8940 9044 2599 2567,Neueinrichtung,143.47,08.11.2017
AT37 4165 0290 7991 9354,AT27 4281 9942 0389 1927,Neueinrichtung,263.84,27.02.2017
AT30 9896 8538 8240 1931,AT99 3877 4273 7047 3592,Auto,389.57,10.09.2017
AT82 8137 7112 6694 2806,AT78 4116 4634 9458 1407,Aktien,263.50,19.03.2017
AT87 6023 4362 1392 0577,AT65 9915 4585 9244 5764,Leben,614.34,08.03.2017
AT81 1104 3648 6492 1249,AT08 8242 4149 1806 1191,Leben,885.59,26.11.2017
AT00 3837 1294 3259 1959,AT34 2568 3484 0062 8014,,70.09,02.07.2017
AT78 6280 7841 3225 0685,AT76 6888 8605 9695 7795,Warenhandel,669.94,28.04.2017
AT83 4593 9652 1831 9309,AT87 6023 4362 1392 0577,Schulden,428.88,10.03.2018
AT25 2252 4773 6239 8605,AT60 2383 6562 9293 9096,,865.36,19.06.2017
AT81 1104 3648 6492 1249,AT76 6888 8605 9695 7795,Leben,216.81,18.01.2017
AT67 5686 4643 8701 0396,AT78 4116 4634 9458 1407,Neueinrichtung,609.65,11.06.2018
AT61 7283 8477 5641 3823,AT09 1239 5645 2894 7413,,646.15,09.10.2017
AT73 2816 5898 3126 3532,AT11 8048 7611 7051 3113,Neueinrichtung,492.90,02.07.2017
AT30 9896 8538 8240 1931,AT23 3627 5889 5495 9166,Warenhandel,968.70,27.12.2018
AT80 0414 2633 0638 0714,AT73 7449 0172 9499 3958,,506.32,03.08.2017
AT87 6023 4362 1392 0577,AT78 6280 7841 3225 0685,,961.72,08.10.2018
AT95 5079 3033 2191 2643,AT27 4281 9942 0389 1927,Aktien,723.76,26.05.2017
AT83 4593 9652 1831 9309,AT73 0351 6823 5615 7175,Leben,124.64,17.07.2017
AT37 2200 1453 3654 4508,AT81 1104 3648 6492 1249,Leben,98.01,24.04.2017
AT34 2568 3484 0062 8014,AT65 9915 4585 9244 5764,Neueinrichtung,822.31,23.04.2017
AT95 5079 3033 2191 2643,AT09 1239 5645 2894 7413,Aktien,191.75,06.11.2018
AT11 9371 9162 5540 3652,AT48 4644 0976 8993 2171,Aktien,634.19,07.10.2017
AT87 6023 4362 1392 0577,AT00 3837 1294 3259 1959,Spende,261.00,23.07.2017
AT08 8242 4149 1806 1191,AT71 8337 5842 2084 3742,Aktien,654.48,26.03.2017
AT36 6263 5656 5947 3628,AT87 6023 4362 1392 0577,Schulden,501.09,16.10.2018
AT05 1748 1837 7869 6873,AT11 9371 9162 5540 3652,,321.53,13.04.2018
AT30 9896 8538 8240 1931,AT50 5914 7535 5076 3985,Aktien,269.93,17.09.2017
AT25 2252 4773 6239 8605,AT56 8206 6127 2233 7903,Aktien,776.97,05.12.2018
AT38 1771 0448 8518 9824,AT47 9309 4409 4792 4785,Warenhandel,443.77,26.08.2017
AT89 1722 5241 3201 1443,AT60 2383 6562 9293 9096,Aktien,966.04,03.10.2017
AT83 2055 0343 5031 5242,AT73 2816 5898 3126 3532,Leben,148.42,01.11.2017
AT57 0089 3636 6067 8915,AT80 0414 2633 0638 0714,Schulden,344.51,05.08.2018
AT30 9896 8538 8240 1931,AT34 9862 5121 9751 5569,,484.09,24.05.2017
AT08 8242 4149 1806 1191,AT55 8940 9044 2599 2567,Spende,601.47,21.07.2017
AT37 2200 1453 3654 4508,AT76 6888 8605 9695 7795,Neueinrichtung,120.70,01.01.2018
AT76 6888 8605 9695 7795,AT52 4761 1464 4792 5682,Auto,425.51,16.10.2017
AT71 7270 8831 6056 9024,AT34 9862 5121 9751 5569,Warenhandel,94.32,27.04.2018
AT45 2213 9912 6657 0320,AT11 8048 7611 7051 3113,Warenhandel,482.26,03.01.2018
AT61 7283 8477 5641 3823,AT71 8337 5842 2084 3742,Warenhandel,814.97,27.07.2018
AT52 4761 1464 4792 5682,AT85 7494 8192 8332 9402,Neueinrichtung,787.79,28.10.2018
AT77 5714 5121 8373 3333,AT56 8206 6127 2233 7903,Spende,526.98,25.03.2018
AT81 1104 3648 6492 1249,AT60 2383 6562 9293 9096,Aktien,427.70,07.09.2017
AT50 5914 7535 5076 3985,AT76 6888 8605 9695 7795,Schulden,637.58,15.08.2017
AT77 0689 8601 7267 2419,AT60 2383 6562 9293 9096,Warenhandel,768.01,28.09.2018
AT48 4644 0976 8993 2171,AT83 2055 0343 5031 5242,,591.26,04.03.2017
AT30 9896 8538 8240 1931,AT25 2252 4773 6239 8605,Warenhandel,492.40,09.08.2017
AT11 8048 7611 7051 3113,AT73 7449 0172 9499 3958,Neueinrichtung,940.24,17.08.2018
AT49 7869 6462 7722 2559,AT30 9896 8538 8240 1931,Leben,261.70,14.09.2017
AT77 0689 8601 7267 2419,AT76 6888 8605 9695 7795,Leben,394.61,11.09.2017
AT38 1771 0448 8518 9824,AT48 4644 0976 8993 2171,Schulden,317.44,10.10.2018
AT55 8940 9044 2599 2567,AT83 4593 9652 1831 9309,Aktien,518.72,10.02.2018
AT48 4644 0976 8993 2171,AT11 8048 7611 7051 3113,Neueinrichtung,290.76,05.11.2017
AT21 3259 6395 4314 9840,AT83 2055 0343 5031 5242,Neueinrichtung,946.99,12.11.2017
AT05 1748 1837 7869 6873,AT34 2568 3484 0062 8014,Neueinrichtung,322.81,03.02.2017
AT55 8940 9044 2599 2567,AT47 9309 4409 4792 4785,Schulden,135.62,04.02.2018
AT73 4879 0209 4159 7619,AT78 4116 4634 9458 1407,Aktien,364.59,14.08.2018
AT38 1771 0448 8518 9824,AT71 7270 8831 6056 9024,Aktien,765.23,17.06.2017
AT23 3627 5889 5495 9166,AT46 4038 8451 6269 6532,Spende,142.12,18.04.2017
AT10 0760 7731 4855 1789,AT71 7270 8831 6056 9024,Spende,793.19,17.08.2018
AT33 9460 1594 8170 4365,AT71 8337 5842 2084 3742,Neueinrichtung,262.37,08.07.2018
AT00 3837 1294 3259 1959,AT11 9371 9162 5540 3652,Aktien,493.71,24.10.2017
AT78 4116 4634 9458 1407,AT99 3877 4273 7047 3592,Leben,647.28,25.11.2018
AT85 7494 8192 8332 9402,AT37 2200 1453 3654 4508,Warenhandel,793.23,02.08.2018
AT73 2816 5898 3126 3532,AT81 1104 3648 6492 1249,Schulden,948.85,07.06.2018
AT87 6023 4362 1392 0577,AT21 3259 6395 4314 9840,Auto,183.51,05.10.2017
AT73 2816 5898 3126 3532,AT23 3627 5889 5495 9166,Schulden,692.58,22.01.2017
AT08 8242 4149 1806 1191,AT36 6263 5656 5947 3628,Neueinrichtung,736.67,01.10.2018
AT21 3259 6395 4314 9840,AT37 2200 1453 3654 4508,Neueinrichtung,901.67,11.06.2018
AT09 1239 5645 2894 7413,AT99 3877 4273 7047 3592,Neueinrichtung,569.74,28.05.2017
AT95 5079 3033 2191 2643,AT55 8940 9044 2599 2567,Auto,634.74,14.10.2018
AT81 1104 3648 6492 1249,AT37 4165 0290 7991 9354,Aktien,290.54,01.10.2018
AT38 1771 0448 8518 9824,AT49 7869 6462 7722 2559,Schulden,734.88,27.05.2018
AT76 6888 8605 9695 7795,AT47 9309 4409 4792 4785,Leben,893.24,14.01.2018
AT55 8940 9044 2599 2567,AT81 8069 2275 3090 5366,Aktien,155.32,06.01.2017
AT95 5079 3033 2191 2643,AT31 5368 4239 0622 2678,,439.88,08.02.2017
AT76 6888 8605 9695 7795,AT09 1239 5645 2894 7413,Aktien,971.88,04.01.2017
AT08 8242 4149 1806 1191,AT36 6263 5656 5947 3628,Leben,220.89,03.10.2017
AT50 5914 7535 5076 3985,AT56 8206 6127 2233 7903,Neueinrichtung,627.75,12.06.2017
AT94 6088 9228 6351 2124,AT34 1779 1973 2337 2860,Spende,590.73,04.03.2017
AT09 1239 5645 2894 7413,AT46 4038 8451 6269 6532,,423.75,21.03.2017
AT57 0089 3636 6067 8915,AT25 2252 4773 6239 8605,Auto,982.58,23.03.2018
AT25 2252 4773 6239 8605,AT82 8137 7112 6694 2806,Auto,329.64,22.09.2017
AT76 6888 8605 9695 7795,AT48 4644 0976 8993 2171,Neueinrichtung,80.91,08.02.2017
AT85 7494 8192 8332 9402,AT87 6023 4362 1392 0577,Neueinrichtung,786.37,03.02.2018
AT05 1748 1837 7869 6873,AT23 3627 5889 5495 9166,Leben,220.56,19.09.2018
AT09 1239 5645 2894 7413,AT37 4165 0290 7991 9354,Leben,190.68,21.06.2017
AT50 5914 7535 5076 3985,AT37 4165 0290 7991 9354,Auto,519.74,21.01.2017
AT34 1779 1973 2337 2860,AT55 8940 9044 2599 2567,Leben,474.62,20.10.2017
AT09 1239 5645 2894 7413,AT73 2816 5898 3126 3532,,658.60,02.05.2018
AT71 8337 5842 2084 3742,AT48 4644 0976 8993 2171,Aktien,619.53,14.08.2018
AT65 9915 4585 9244 5764,AT36 6263 5656 5947 3628,Warenhandel,136.38,20.09.2017
AT36 6263 5656 5947 3628,AT00 3837 1294 3259 1959,Warenhandel,760.22,21.05.2018
AT80 3954 6633 3875 0597,AT34 1779 1973 2337 2860,Auto,195.70,04.11.2017
AT37 4165 0290 7991 9354,AT46 4038 8451 6269 6532,Neueinrichtung,232.92,01.10.2018
AT77 5714 5121 8373 3333,AT48 4644 0976 8993 2171,Neueinrichtung,389.36,04.11.2017
AT57 0089 3636 6067 8915,AT55 8940 9044 2599 2567,Spende,286.84,15.01.2017
AT77 5714 5121 8373 3333,AT80 0414 2633 0638 0714,Auto,274.01,09.01.2018
AT99 3877 4273 7047 3592,AT27 4281 9942 0389 1927,Neueinrichtung,64.74,07.11.2017
AT31 5368 4239 0622 2678,AT85 7494 8192 8332 9402,,263.89,11.04.2018
AT83 4593 9652 1831 9309,AT89 1722 5241 3201 1443,,903.97,23.05.2017
AT65 9915 4585 9244 5764,AT34 1779 1973 2337 2860,Spende,300.62,24.10.2017
AT45 2213 9912 6657 0320,AT71 8337 5842 2084 3742,Warenhandel,125.05,21.06.2017
AT77 5714 5121 8373 3333,AT37 4165 0290 7991 9354,Auto,785.90,26.02.2018
AT11 8048 7611 7051 3113,AT71 7270 8831 6056 9024,,826.62,01.04.2018
AT58 0042 4020 9493 7961,AT94 6088 9228 6351 2124,Schulden,87.08,13.08.2017
AT73 7449 0172 9499 3958,AT30 9896 8538 8240 1931,Schulden,862.00,14.11.2018
AT08 8242 4149 1806 1191,AT60 2383 6562 9293 9096,Warenhandel,407.28,10.04.2017
AT37 4165 0290 7991 9354,AT57 0089 3636 6067 8915,Auto,49.67,10.09.2018
AT78 6280 7841 3225 0685,AT87 6023 4362 1392 0577,Aktien,346.60,01.10.2018
AT48 4644 0976 8993 2171,AT73 0351 6823 5615 7175,Leben,422.97,05.02.2018
AT00 3837 1294 3259 1959,AT78 4116 4634 9458 1407,Neueinrichtung,585.65,11.08.2018
AT57 6282 2830 8723 9867,AT56 8206 6127 2233 7903,Aktien,736.51,02.09.2017
AT56 8206 6127 2233 7903,AT73 2816 5898 3126 3532,Leben,652.48,24.05.2017
AT83 4593 9652 1831 9309,AT87 6023 4362 1392 0577,Auto,245.98,06.12.2018
AT80 0414 2633 0638 0714,AT71 8337 5842 2084 3742,Aktien,100.35,09.08.2017
AT37 4165 0290 7991 9354,AT46 4038 8451 6269 6532,Auto,740.69,01.07.2018
AT36 6263 5656 5947 3628,AT99 3877 4273 7047 3592,,259.66,15.01.2017
AT33 9460 1594 8170 4365,AT71 8337 5842 2084 3742,,30.18,01.04.2017
AT89 1722 5241 3201 1443,AT31 5368 4239 0622 2678,Warenhandel,834.64,10.09.2017
AT17 4463 0026 7361 8389,AT11 9371 9162 5540 3652,Schulden,213.59,07.04.2017
AT17 4463 0026 7361 8389,AT57 0089 3636 6067 8915,Auto,742.91,28.08.2018
AT56 8206 6127 2233 7903,AT23 3627 5889 5495 9166,Auto,518.75,08.12.2018
AT82 8137 7112 6694 2806,AT81 1104 3648 6492 1249,Leben,959.23,03.02.2018
AT57 0089 3636 6067 8915,AT95 5079 3033 2191 2643,Spende,447.94,09.08.2018
AT36 6263 5656 5947 3628,AT23 3627 5889 5495 9166,Schulden,874.22,11.09.2018
AT60 2383 6562 9293 9096,AT34 1779 1973 2337 2860,Warenhandel,853.32,07.06.2017
AT85 9841 6026 7949 4737,AT73 7449 0172 9499 3958,Auto,789.43,12.04.2017
AT45 2213 9912 6657 0320,AT49 7869 6462 7722 2559,,641.52,23.12.2018
AT46 4038 8451 6269 6532,AT34 9862 5121 9751 5569,Leben,463.93,02.09.2018
AT11 8048 7611 7051 3113,AT94 6088 9228 6351 2124,Auto,144.13,05.03.2018
AT55 8940 9044 2599 2567,AT31 5368 4239 0622 2678,Neueinrichtung,415.13,02.06.2017
AT49 7869 6462 7722 2559,AT11 9371 9162 5540 3652,Leben,768.11,27.12.2018
AT95 5079 3033 2191 2643,AT81 8069 2275 3090 5366,,385.39,20.06.2018
AT37 2200 1453 3654 4508,AT99 3877 4273 7047 3592,Auto,323.48,09.03.2017
AT80 0414 2633 0638 0714,AT00 3837 1294 3259 1959,Warenhandel,280.62,09.11.2017
AT37 4165 0290 7991 9354,AT46 4038 8451 6269 6532,Schulden,550.13,21.08.2017
AT46 4038 8451 6269 6532,AT50 5914 7535 5076 3985,,330.12,24.07.2017
AT52 4761 1464 4792 5682,AT99 3877 4273 7047 3592,Schulden,445.89,12.02.2018
AT78 4116 4634 9458 1407,AT09 1239 5645 2894 7413,Auto,907.16,11.07.2017
AT60 2383 6562 9293 9096,AT87 6023 4362 1392 0577,Warenhandel,47.88,18.04.2017
AT56 8206 6127 2233 7903,AT47 9309 4409 4792 4785,Leben,526.93,04.04.2017
